"GTA";"Data";"Finalidade";"Machos";"Femeas";"Codigo_Propriedade_Origem";"Propriedade_Origem";"Lat_or";"Long_or";"IBGE_origem";"Municipio_origem";"Codigo_Propriedade_Destino";"Propriedade_Destino";"Lat_de";"Long_de";"IBGE_destino";"Municipio_destino";"Especie"
28878;"18/7/2015";"REPRODUCAO";20;0;538055;"Propriedade Jonie";-21.7141870479229;-54.6770903980695;5007208;"Rio Brilhante";554148;"Propriedade Luetta";-21.8067143057865;-55.13718782749;5006606;"Ponta Porã";"Bovinos"
23824;"5/3/2015";"ENGORDA";5;9;566294;"Propriedade Stephnie";-20.7846576723083;-55.2562778445302;5003488;"Dois Irmãos do Buriti";554148;"Propriedade Luetta";-21.8067143057865;-55.13718782749;5006606;"Ponta Porã";"Bovinos"
18369;"16/7/2015";"REPRODUCAO";24;20;552959;"Propriedade Tamesha";-21.3861507091379;-54.2904510866598;5007208;"Rio Brilhante";554148;"Propriedade Luetta";-21.8067143057865;-55.13718782749;5006606;"Ponta Porã";"Bovinos"
28038;"14/9/2015";"REPRODUCAO";3;17;538055;"Propriedade Jonie";-21.7141870479229;-54.6770903980695;5007208;"Rio Brilhante";554148;"Propriedade Luetta";-21.8067143057865;-55.13718782749;5006606;"Ponta Porã";"Bovinos"
29444;"12/11/2015";"ENGORDA";20;12;593034;"Propriedade Kerri";-21.4081949711402;-54.6417823265725;5007208;"Rio Brilhante";557047;"Propriedade Quinton";-22.1563978377576;-55.2929544984243;5003702;"Dourados";"Bovinos"
13961;"18/7/2015";"ENGORDA";14;11;558423;"Propriedade Elsie";-20.3717704755329;-55.2394355243444;5001102;"Aquidauana";516438;"Propriedade Albertine";-22.0263439788107;-54.6731341052288;5007208;"Rio Brilhante";"Bovinos"
20204;"14/9/2015";"ENGORDA";105;9;597332;"Propriedade Toya";-20.7840434252109;-55.1295901600209;5003488;"Dois Irmãos do Buriti";516438;"Propriedade Albertine";-22.0263439788107;-54.6731341052288;5007208;"Rio Brilhante";"Bovinos"
26584;"3/9/2015";"ENGORDA";2;23;558423;"Propriedade Elsie";-20.3717704755329;-55.2394355243444;5001102;"Aquidauana";516438;"Propriedade Albertine";-22.0263439788107;-54.6731341052288;5007208;"Rio Brilhante";"Bovinos"
21934;"17/4/2015";"ENGORDA";8;17;558423;"Propriedade Elsie";-20.3717704755329;-55.2394355243444;5001102;"Aquidauana";516438;"Propriedade Albertine";-22.0263439788107;-54.6731341052288;5007208;"Rio Brilhante";"Bovinos"
26952;"30/11/2015";"ENGORDA";23;2;558423;"Propriedade Elsie";-20.3717704755329;-55.2394355243444;5001102;"Aquidauana";516438;"Propriedade Albertine";-22.0263439788107;-54.6731341052288;5007208;"Rio Brilhante";"Bovinos"
23224;"10/9/2015";"ENGORDA";23;17;504820;"Propriedade Brittani";-19.9075477365567;-55.2262102279567;5007505;"Rochedo";516438;"Propriedade Albertine";-22.0263439788107;-54.6731341052288;5007208;"Rio Brilhante";"Bovinos"
27670;"1/2/2015";"REPRODUCAO";10;40;579046;"Propriedade Tomasa";-21.3291668965898;-54.7327743800377;5007109;"Ribas do Rio Pardo";502574;"Propriedade Mari";-21.8210510496485;-55.3674640537017;5007208;"Rio Brilhante";"Bovinos"
18370;"9/3/2015";"ENGORDA";3;4;512772;"Propriedade Margot";-22.0969785177527;-54.942247908621;5003702;"Dourados";502574;"Propriedade Mari";-21.8210510496485;-55.3674640537017;5007208;"Rio Brilhante";"Bovinos"
11668;"10/1/2015";"REPRODUCAO";25;5;586374;"Propriedade Zane";-22.1962439034586;-54.7972737281024;5004502;"Itaporã";502574;"Propriedade Mari";-21.8210510496485;-55.3674640537017;5007208;"Rio Brilhante";"Bovinos"
19629;"28/11/2015";"ENGORDA";62;49;584271;"Propriedade Leonel";-21.1935953764568;-55.0715870832052;5007208;"Rio Brilhante";502574;"Propriedade Mari";-21.8210510496485;-55.3674640537017;5007208;"Rio Brilhante";"Bovinos"
17693;"21/3/2015";"REPRODUCAO";14;4;505248;"Propriedade Shad";-21.7277176022795;-54.3572228325018;5007208;"Rio Brilhante";502574;"Propriedade Mari";-21.8210510496485;-55.3674640537017;5007208;"Rio Brilhante";"Bovinos"
13316;"17/9/2015";"ENGORDA";2;13;502667;"Propriedade Alethea";-21.670167513667;-55.4454279587362;5007901;"Sidrolândia";502574;"Propriedade Mari";-21.8210510496485;-55.3674640537017;5007208;"Rio Brilhante";"Bovinos"
18272;"16/11/2015";"ENGORDA";8;2;534961;"Propriedade Linnie";-21.7854310153325;-54.8067259478679;5003702;"Dourados";502574;"Propriedade Mari";-21.8210510496485;-55.3674640537017;5007208;"Rio Brilhante";"Bovinos"
25541;"5/10/2015";"REPRODUCAO";5;5;541999;"Propriedade Johnny";-21.2383521283752;-54.0840145597572;5002704;"Campo Grande";502574;"Propriedade Mari";-21.8210510496485;-55.3674640537017;5007208;"Rio Brilhante";"Bovinos"
23469;"6/9/2015";"REPRODUCAO";9;11;579046;"Propriedade Tomasa";-21.3291668965898;-54.7327743800377;5007109;"Ribas do Rio Pardo";502574;"Propriedade Mari";-21.8210510496485;-55.3674640537017;5007208;"Rio Brilhante";"Bovinos"
23449;"26/11/2015";"ENGORDA";18;47;523971;"Propriedade Valentina";-21.7616739015434;-55.3631650776424;5004106;"Guia Lopes da Laguna";502574;"Propriedade Mari";-21.8210510496485;-55.3674640537017;5007208;"Rio Brilhante";"Bovinos"
10579;"2/7/2015";"ENGORDA";47;5;551554;"Propriedade Carmelita";-20.9282339181815;-54.9500714337674;5007901;"Sidrolândia";502574;"Propriedade Mari";-21.8210510496485;-55.3674640537017;5007208;"Rio Brilhante";"Bovinos"
10754;"14/5/2015";"REPRODUCAO";17;1;554969;"Propriedade Jeniffer";-22.0727376527079;-54.4380978335789;5007208;"Rio Brilhante";502574;"Propriedade Mari";-21.8210510496485;-55.3674640537017;5007208;"Rio Brilhante";"Bovinos"
10233;"26/6/2015";"ENGORDA";9;1;553984;"Propriedade Silas";-20.0378784545701;-54.4942732328153;5007505;"Rochedo";502574;"Propriedade Mari";-21.8210510496485;-55.3674640537017;5007208;"Rio Brilhante";"Bovinos"
23440;"1/8/2015";"ENGORDA";5;2;555686;"Propriedade Kate";-21.2575114594233;-55.1794302525617;5000708;"Anastácio";522751;"Propriedade Antonietta";-21.3624995894339;-53.8103472837728;5006002;"Nova Alvorada do Sul";"Bovinos"
10301;"22/3/2015";"ENGORDA";1;1;555686;"Propriedade Kate";-21.2575114594233;-55.1794302525617;5000708;"Anastácio";522751;"Propriedade Antonietta";-21.3624995894339;-53.8103472837728;5006002;"Nova Alvorada do Sul";"Bovinos"
26379;"21/6/2015";"ENGORDA";7;3;555686;"Propriedade Kate";-21.2575114594233;-55.1794302525617;5000708;"Anastácio";522751;"Propriedade Antonietta";-21.3624995894339;-53.8103472837728;5006002;"Nova Alvorada do Sul";"Bovinos"
20947;"1/10/2015";"REPRODUCAO";16;8;555686;"Propriedade Kate";-21.2575114594233;-55.1794302525617;5000708;"Anastácio";522751;"Propriedade Antonietta";-21.3624995894339;-53.8103472837728;5006002;"Nova Alvorada do Sul";"Bovinos"
14529;"27/2/2015";"ENGORDA";7;0;555686;"Propriedade Kate";-21.2575114594233;-55.1794302525617;5000708;"Anastácio";522751;"Propriedade Antonietta";-21.3624995894339;-53.8103472837728;5006002;"Nova Alvorada do Sul";"Bovinos"
10384;"12/3/2015";"ENGORDA";3;7;555686;"Propriedade Kate";-21.2575114594233;-55.1794302525617;5000708;"Anastácio";522751;"Propriedade Antonietta";-21.3624995894339;-53.8103472837728;5006002;"Nova Alvorada do Sul";"Bovinos"
16789;"2/5/2015";"ENGORDA";73;30;555686;"Propriedade Kate";-21.2575114594233;-55.1794302525617;5000708;"Anastácio";522751;"Propriedade Antonietta";-21.3624995894339;-53.8103472837728;5006002;"Nova Alvorada do Sul";"Bovinos"
20995;"19/6/2015";"ENGORDA";7;1;555686;"Propriedade Kate";-21.2575114594233;-55.1794302525617;5000708;"Anastácio";522751;"Propriedade Antonietta";-21.3624995894339;-53.8103472837728;5006002;"Nova Alvorada do Sul";"Bovinos"
29361;"11/12/2015";"REPRODUCAO";1;6;555686;"Propriedade Kate";-21.2575114594233;-55.1794302525617;5000708;"Anastácio";522751;"Propriedade Antonietta";-21.3624995894339;-53.8103472837728;5006002;"Nova Alvorada do Sul";"Bovinos"
29111;"30/7/2015";"ENGORDA";31;101;555686;"Propriedade Kate";-21.2575114594233;-55.1794302525617;5000708;"Anastácio";522751;"Propriedade Antonietta";-21.3624995894339;-53.8103472837728;5006002;"Nova Alvorada do Sul";"Bovinos"
25747;"4/5/2015";"ENGORDA";13;1;555686;"Propriedade Kate";-21.2575114594233;-55.1794302525617;5000708;"Anastácio";522751;"Propriedade Antonietta";-21.3624995894339;-53.8103472837728;5006002;"Nova Alvorada do Sul";"Bovinos"
23190;"22/8/2015";"REPRODUCAO";133;114;555686;"Propriedade Kate";-21.2575114594233;-55.1794302525617;5000708;"Anastácio";522751;"Propriedade Antonietta";-21.3624995894339;-53.8103472837728;5006002;"Nova Alvorada do Sul";"Bovinos"
18092;"13/7/2015";"REPRODUCAO";1;17;502363;"Propriedade Jong";-21.7105075411162;-55.5005131646244;5007208;"Rio Brilhante";585178;"Propriedade Lorinda";-21.1432488679688;-53.9892160787474;5002704;"Campo Grande";"Bovinos"
14938;"14/9/2015";"REPRODUCAO";23;12;500960;"Propriedade Reid";-22.2440070031431;-55.139355663712;5003702;"Dourados";585178;"Propriedade Lorinda";-21.1432488679688;-53.9892160787474;5002704;"Campo Grande";"Bovinos"
24138;"26/10/2015";"REPRODUCAO";14;7;557706;"Propriedade Newton";-20.9706419106218;-54.4391517335142;5006002;"Nova Alvorada do Sul";585178;"Propriedade Lorinda";-21.1432488679688;-53.9892160787474;5002704;"Campo Grande";"Bovinos"
20559;"6/12/2015";"REPRODUCAO";5;1;506918;"Propriedade Terrence";-21.3207584027314;-54.0368998566304;5006002;"Nova Alvorada do Sul";585178;"Propriedade Lorinda";-21.1432488679688;-53.9892160787474;5002704;"Campo Grande";"Bovinos"
13308;"23/11/2015";"REPRODUCAO";28;3;559059;"Propriedade Kori";-21.9739861186546;-54.485237315263;5005400;"Maracaju";585178;"Propriedade Lorinda";-21.1432488679688;-53.9892160787474;5002704;"Campo Grande";"Bovinos"
20439;"31/8/2015";"ENGORDA";3;3;530720;"Propriedade Alaine";-22.3599349015975;-54.5632017373901;5007208;"Rio Brilhante";585178;"Propriedade Lorinda";-21.1432488679688;-53.9892160787474;5002704;"Campo Grande";"Bovinos"
29149;"7/11/2015";"REPRODUCAO";20;52;512187;"Propriedade Maye";-20.9124435838872;-54.6023047293964;5007901;"Sidrolândia";585178;"Propriedade Lorinda";-21.1432488679688;-53.9892160787474;5002704;"Campo Grande";"Bovinos"
16596;"22/6/2015";"REPRODUCAO";5;0;585279;"Propriedade Mitch";-20.9353380495063;-54.9587148988649;5007901;"Sidrolândia";585178;"Propriedade Lorinda";-21.1432488679688;-53.9892160787474;5002704;"Campo Grande";"Bovinos"
28711;"2/3/2015";"REPRODUCAO";56;7;585279;"Propriedade Mitch";-20.9353380495063;-54.9587148988649;5007901;"Sidrolândia";585178;"Propriedade Lorinda";-21.1432488679688;-53.9892160787474;5002704;"Campo Grande";"Bovinos"
23567;"16/2/2015";"ENGORDA";39;0;561247;"Propriedade Monika";-19.9882892637427;-54.7745362956311;5003108;"Corguinho";585178;"Propriedade Lorinda";-21.1432488679688;-53.9892160787474;5002704;"Campo Grande";"Bovinos"
26357;"26/1/2015";"REPRODUCAO";57;3;585279;"Propriedade Mitch";-20.9353380495063;-54.9587148988649;5007901;"Sidrolândia";585178;"Propriedade Lorinda";-21.1432488679688;-53.9892160787474;5002704;"Campo Grande";"Bovinos"
22893;"5/10/2015";"REPRODUCAO";35;16;585238;"Propriedade Georgiann";-21.0792947655403;-54.7719740087335;5007208;"Rio Brilhante";585178;"Propriedade Lorinda";-21.1432488679688;-53.9892160787474;5002704;"Campo Grande";"Bovinos"
11951;"15/6/2015";"REPRODUCAO";16;12;502381;"Propriedade Brent";-21.1669424190888;-54.0471061179036;5007109;"Ribas do Rio Pardo";585178;"Propriedade Lorinda";-21.1432488679688;-53.9892160787474;5002704;"Campo Grande";"Bovinos"
18560;"27/4/2015";"REPRODUCAO";39;1;578133;"Propriedade Kraig";-20.6889394061627;-53.8420400114008;5002704;"Campo Grande";585178;"Propriedade Lorinda";-21.1432488679688;-53.9892160787474;5002704;"Campo Grande";"Bovinos"
23409;"23/4/2015";"REPRODUCAO";8;163;535773;"Propriedade Joy";-21.8770302216882;-55.383039967567;5005400;"Maracaju";585178;"Propriedade Lorinda";-21.1432488679688;-53.9892160787474;5002704;"Campo Grande";"Bovinos"
20702;"15/8/2015";"REPRODUCAO";20;38;576067;"Propriedade Treena";-21.19553304139;-54.9414820988346;5007901;"Sidrolândia";585178;"Propriedade Lorinda";-21.1432488679688;-53.9892160787474;5002704;"Campo Grande";"Bovinos"
26674;"29/8/2015";"REPRODUCAO";21;29;591299;"Propriedade Orlando";-21.2029815187072;-54.9811805911547;5007208;"Rio Brilhante";585178;"Propriedade Lorinda";-21.1432488679688;-53.9892160787474;5002704;"Campo Grande";"Bovinos"
22340;"26/4/2015";"REPRODUCAO";36;40;594820;"Propriedade Lucrecia";-21.7130622573057;-54.7669935481544;5004502;"Itaporã";585178;"Propriedade Lorinda";-21.1432488679688;-53.9892160787474;5002704;"Campo Grande";"Bovinos"
19659;"12/11/2015";"REPRODUCAO";6;30;568945;"Propriedade Maren";-20.2211364649362;-54.2560097272605;5004908;"Jaraguari";585178;"Propriedade Lorinda";-21.1432488679688;-53.9892160787474;5002704;"Campo Grande";"Bovinos"
28913;"2/4/2015";"REPRODUCAO";4;23;521094;"Propriedade Celena";-21.7426052845872;-54.5195065350648;5006002;"Nova Alvorada do Sul";585178;"Propriedade Lorinda";-21.1432488679688;-53.9892160787474;5002704;"Campo Grande";"Bovinos"
16309;"10/7/2015";"REPRODUCAO";5;6;577618;"Propriedade Sung";-21.9780162366488;-55.10489150543;5005400;"Maracaju";585178;"Propriedade Lorinda";-21.1432488679688;-53.9892160787474;5002704;"Campo Grande";"Bovinos"
22795;"4/5/2015";"REPRODUCAO";12;32;503008;"Propriedade Laquita";-20.9759498794124;-54.7859754694309;5007208;"Rio Brilhante";585178;"Propriedade Lorinda";-21.1432488679688;-53.9892160787474;5002704;"Campo Grande";"Bovinos"
18676;"2/8/2015";"REPRODUCAO";39;21;518317;"Propriedade Tarah";-21.9454189315805;-54.668252474678;5004502;"Itaporã";585178;"Propriedade Lorinda";-21.1432488679688;-53.9892160787474;5002704;"Campo Grande";"Bovinos"
18011;"13/9/2015";"REPRODUCAO";12;7;596087;"Propriedade Irma";-22.2038219367497;-54.4248700570479;5007208;"Rio Brilhante";585178;"Propriedade Lorinda";-21.1432488679688;-53.9892160787474;5002704;"Campo Grande";"Bovinos"
13919;"11/5/2015";"REPRODUCAO";99;27;509972;"Propriedade So";-21.0232381242637;-55.4137614676999;5005400;"Maracaju";585178;"Propriedade Lorinda";-21.1432488679688;-53.9892160787474;5002704;"Campo Grande";"Bovinos"
22983;"26/7/2015";"REPRODUCAO";30;8;533848;"Propriedade Rachelle";-21.6111678036145;-54.3989208089779;5007208;"Rio Brilhante";585178;"Propriedade Lorinda";-21.1432488679688;-53.9892160787474;5002704;"Campo Grande";"Bovinos"
15549;"2/5/2015";"REPRODUCAO";4;46;598541;"Propriedade Wendi";-21.4220960776506;-54.9161154025556;5007901;"Sidrolândia";585178;"Propriedade Lorinda";-21.1432488679688;-53.9892160787474;5002704;"Campo Grande";"Bovinos"
28365;"25/4/2015";"REPRODUCAO";18;62;502381;"Propriedade Brent";-21.1669424190888;-54.0471061179036;5007109;"Ribas do Rio Pardo";585178;"Propriedade Lorinda";-21.1432488679688;-53.9892160787474;5002704;"Campo Grande";"Bovinos"
29472;"26/7/2015";"REPRODUCAO";14;17;557167;"Propriedade Delmar";-21.7808045644021;-54.7192773536429;5005400;"Maracaju";585178;"Propriedade Lorinda";-21.1432488679688;-53.9892160787474;5002704;"Campo Grande";"Bovinos"
27225;"23/6/2015";"REPRODUCAO";101;47;520034;"Propriedade Elaina";-21.0174640809967;-54.3578506230627;5002704;"Campo Grande";585178;"Propriedade Lorinda";-21.1432488679688;-53.9892160787474;5002704;"Campo Grande";"Bovinos"
27461;"24/5/2015";"ENGORDA";1;29;532804;"Propriedade Susannah";-20.6706351516954;-56.025079172156;5000708;"Anastácio";585178;"Propriedade Lorinda";-21.1432488679688;-53.9892160787474;5002704;"Campo Grande";"Bovinos"
10762;"29/3/2015";"REPRODUCAO";3;16;568884;"Propriedade Stanton";-21.8146631038413;-54.9065538653041;5007208;"Rio Brilhante";585178;"Propriedade Lorinda";-21.1432488679688;-53.9892160787474;5002704;"Campo Grande";"Bovinos"
11321;"11/12/2015";"REPRODUCAO";18;16;563127;"Propriedade Vivan";-21.4985211579698;-55.0455280705015;5005400;"Maracaju";585178;"Propriedade Lorinda";-21.1432488679688;-53.9892160787474;5002704;"Campo Grande";"Bovinos"
12970;"27/7/2015";"REPRODUCAO";12;18;521094;"Propriedade Celena";-21.7426052845872;-54.5195065350648;5006002;"Nova Alvorada do Sul";585178;"Propriedade Lorinda";-21.1432488679688;-53.9892160787474;5002704;"Campo Grande";"Bovinos"
23183;"22/10/2015";"REPRODUCAO";24;16;578033;"Propriedade Everette";-22.2671906085595;-54.4397106272152;5007208;"Rio Brilhante";585178;"Propriedade Lorinda";-21.1432488679688;-53.9892160787474;5002704;"Campo Grande";"Bovinos"
15974;"16/7/2015";"REPRODUCAO";16;40;546907;"Propriedade Ariel";-21.9087918904295;-53.9009410035909;5006002;"Nova Alvorada do Sul";585178;"Propriedade Lorinda";-21.1432488679688;-53.9892160787474;5002704;"Campo Grande";"Bovinos"
29104;"26/2/2015";"REPRODUCAO";26;23;591299;"Propriedade Orlando";-21.2029815187072;-54.9811805911547;5007208;"Rio Brilhante";585178;"Propriedade Lorinda";-21.1432488679688;-53.9892160787474;5002704;"Campo Grande";"Bovinos"
28254;"14/11/2015";"REPRODUCAO";9;7;583186;"Propriedade Ramiro";-20.5142426784722;-54.901830912803;5007901;"Sidrolândia";585178;"Propriedade Lorinda";-21.1432488679688;-53.9892160787474;5002704;"Campo Grande";"Bovinos"
22564;"21/11/2015";"REPRODUCAO";110;2;539060;"Propriedade Mi";-21.286896376641;-54.955844213334;5007901;"Sidrolândia";585178;"Propriedade Lorinda";-21.1432488679688;-53.9892160787474;5002704;"Campo Grande";"Bovinos"
24521;"28/8/2015";"REPRODUCAO";36;24;542230;"Propriedade Fernando";-21.4740685004043;-54.526763225172;5006002;"Nova Alvorada do Sul";585178;"Propriedade Lorinda";-21.1432488679688;-53.9892160787474;5002704;"Campo Grande";"Bovinos"
12442;"9/4/2015";"ENGORDA";135;465;549191;"Propriedade Debroah";-20.9747671113118;-55.6223386648951;5007901;"Sidrolândia";585178;"Propriedade Lorinda";-21.1432488679688;-53.9892160787474;5002704;"Campo Grande";"Bovinos"
15203;"17/9/2015";"REPRODUCAO";50;90;548842;"Propriedade Mariann";-21.2177088199029;-53.9207726152628;5007901;"Sidrolândia";585178;"Propriedade Lorinda";-21.1432488679688;-53.9892160787474;5002704;"Campo Grande";"Bovinos"
29007;"26/4/2015";"ENGORDA";52;6;586343;"Propriedade Justine";-21.470335567251;-55.314504681492;5005400;"Maracaju";585178;"Propriedade Lorinda";-21.1432488679688;-53.9892160787474;5002704;"Campo Grande";"Bovinos"
18619;"8/11/2015";"REPRODUCAO";12;3;577174;"Propriedade Drew";-21.8250165875135;-54.9079435054564;5007208;"Rio Brilhante";585178;"Propriedade Lorinda";-21.1432488679688;-53.9892160787474;5002704;"Campo Grande";"Bovinos"
23597;"16/7/2015";"REPRODUCAO";7;16;509316;"Propriedade Meagan";-21.5133609264599;-54.8940544446401;5007901;"Sidrolândia";585178;"Propriedade Lorinda";-21.1432488679688;-53.9892160787474;5002704;"Campo Grande";"Bovinos"
22393;"12/4/2015";"REPRODUCAO";2;0;539060;"Propriedade Mi";-21.286896376641;-54.955844213334;5007901;"Sidrolândia";585178;"Propriedade Lorinda";-21.1432488679688;-53.9892160787474;5002704;"Campo Grande";"Bovinos"
27540;"6/2/2015";"ENGORDA";11;3;510867;"Propriedade Jerrell";-19.6119699643491;-54.0037363826126;5007109;"Ribas do Rio Pardo";585178;"Propriedade Lorinda";-21.1432488679688;-53.9892160787474;5002704;"Campo Grande";"Bovinos"
19824;"31/10/2015";"REPRODUCAO";29;6;545047;"Propriedade Luann";-21.6707852698384;-54.8656692837479;5007901;"Sidrolândia";585178;"Propriedade Lorinda";-21.1432488679688;-53.9892160787474;5002704;"Campo Grande";"Bovinos"
22704;"19/12/2015";"REPRODUCAO";13;26;500960;"Propriedade Reid";-22.2440070031431;-55.139355663712;5003702;"Dourados";585178;"Propriedade Lorinda";-21.1432488679688;-53.9892160787474;5002704;"Campo Grande";"Bovinos"
10844;"28/6/2015";"REPRODUCAO";13;43;548926;"Propriedade Ernesto";-22.0574183807898;-54.8042613055524;5004502;"Itaporã";585178;"Propriedade Lorinda";-21.1432488679688;-53.9892160787474;5002704;"Campo Grande";"Bovinos"
25631;"7/11/2015";"REPRODUCAO";85;185;593955;"Propriedade Ardath";-21.8402851889822;-54.1070621900507;5007208;"Rio Brilhante";585178;"Propriedade Lorinda";-21.1432488679688;-53.9892160787474;5002704;"Campo Grande";"Bovinos"
17271;"26/10/2015";"ENGORDA";61;153;584083;"Propriedade Sandy";-20.1949469593006;-55.2004545470524;5001102;"Aquidauana";585178;"Propriedade Lorinda";-21.1432488679688;-53.9892160787474;5002704;"Campo Grande";"Bovinos"
27436;"25/5/2015";"REPRODUCAO";8;23;538294;"Propriedade Cuc";-21.8080565837479;-55.4481188038483;5003702;"Dourados";585178;"Propriedade Lorinda";-21.1432488679688;-53.9892160787474;5002704;"Campo Grande";"Bovinos"
23286;"19/10/2015";"REPRODUCAO";85;14;573275;"Propriedade Robbin";-21.6118041476505;-55.3298137746508;5005400;"Maracaju";585178;"Propriedade Lorinda";-21.1432488679688;-53.9892160787474;5002704;"Campo Grande";"Bovinos"
11833;"28/6/2015";"REPRODUCAO";33;8;579728;"Propriedade Barney";-21.5278967960946;-54.2993081275741;5006002;"Nova Alvorada do Sul";585178;"Propriedade Lorinda";-21.1432488679688;-53.9892160787474;5002704;"Campo Grande";"Bovinos"
29916;"17/9/2015";"REPRODUCAO";14;18;508328;"Propriedade Joaquina";-21.8834030195781;-54.2308133206802;5007208;"Rio Brilhante";585178;"Propriedade Lorinda";-21.1432488679688;-53.9892160787474;5002704;"Campo Grande";"Bovinos"
29304;"28/5/2015";"REPRODUCAO";29;31;553571;"Propriedade Olga";-21.5289014542755;-54.6821056347571;5007901;"Sidrolândia";585178;"Propriedade Lorinda";-21.1432488679688;-53.9892160787474;5002704;"Campo Grande";"Bovinos"
29343;"26/4/2015";"REPRODUCAO";1;40;546469;"Propriedade Hyacinth";-21.4234919797259;-54.5704470325914;5005400;"Maracaju";585178;"Propriedade Lorinda";-21.1432488679688;-53.9892160787474;5002704;"Campo Grande";"Bovinos"
13946;"9/10/2015";"REPRODUCAO";47;12;528549;"Propriedade Shanna";-21.5986637946015;-55.3110285819697;5007901;"Sidrolândia";585178;"Propriedade Lorinda";-21.1432488679688;-53.9892160787474;5002704;"Campo Grande";"Bovinos"
22192;"6/3/2015";"REPRODUCAO";63;16;530054;"Propriedade Ileana";-21.4882924751448;-54.8901702156635;5007208;"Rio Brilhante";585178;"Propriedade Lorinda";-21.1432488679688;-53.9892160787474;5002704;"Campo Grande";"Bovinos"
29158;"25/1/2015";"ENGORDA";3;43;509465;"Propriedade Johnette";-21.3881635323416;-53.7577039383129;5003454;"Deodápolis";585178;"Propriedade Lorinda";-21.1432488679688;-53.9892160787474;5002704;"Campo Grande";"Bovinos"
26573;"6/6/2015";"REPRODUCAO";131;130;504448;"Propriedade Renea";-22.0585844710711;-54.6865953867436;5003801;"Fátima do Sul";585178;"Propriedade Lorinda";-21.1432488679688;-53.9892160787474;5002704;"Campo Grande";"Bovinos"
12932;"26/12/2015";"REPRODUCAO";62;118;597567;"Propriedade Myrtis";-21.6896540256628;-54.9308328058245;5004502;"Itaporã";585178;"Propriedade Lorinda";-21.1432488679688;-53.9892160787474;5002704;"Campo Grande";"Bovinos"
